City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,esna,EG,25.2934,32.554,103.91,9,0,10.65,clear sky
314,asau,RO,46.4333,26.4,61.95,92,100,2.21,overcast clouds
315,griffith,US,41.5284,-87.4237,51.22,93,90,7.0,heavy intensity rain
316,divnogorsk,RU,55.9594,92.3619,45.09,77,100,13.2,overcast clouds
317,tvoroyri,FO,61.5556,-6.8111,47.59,87,100,15.26,overcast clouds
318,kieta,PG,-6.2167,155.6333,77.32,93,100,3.96,light rain
319,martinsburg,US,39.4562,-77.9639,63.59,86,40,4.61,scattered clouds
320,pudozh,RU,61.8099,36.5345,55.98,78,77,13.73,moderate rain
321,provideniya,RU,64.3833,-173.3,41.41,57,2,12.08,clear sky
322,aden,YE,12.7794,45.0367,90.36,59,83,9.17,broken clouds
323,sitka,US,57.0531,-135.33,46.29,76,90,12.66,overcast clouds
324,damghan,IR,36.1683,54.348,86.13,13,0,2.82,clear sky
325,nueva loja,EC,0.0847,-76.8828,67.42,99,55,1.21,broken clouds
326,khartoum,SD,15.5518,32.5324,106.02,8,13,1.01,few clouds
327,texarkana,US,33.4251,-94.0477,68.23,91,20,1.99,few clouds
328,sheltozero,RU,61.3667,35.3667,52.86,74,33,13.82,light rain
329,calvinia,ZA,-31.4707,19.776,56.34,68,77,10.67,broken clouds
330,tomatlan,MX,19.9333,-105.25,71.67,85,60,2.3,broken clouds
331,wokha,IN,26.1,94.2667,75.34,59,32,3.02,scattered clouds
332,barstow,US,34.8986,-117.0228,72.59,33,0,6.89,clear sky
333,san quintin,MX,30.4833,-115.95,63.45,83,74,9.57,broken clouds
334,santo antonio do ica,BR,-3.1022,-67.9397,70.79,99,73,2.35,light rain
335,husavik,IS,66.0449,-17.3389,57.11,60,54,15.95,broken clouds
336,davidson,US,36.1501,-86.7833,71.37,83,90,3.0,overcast clouds
337,geraldton,AU,-28.7667,114.6,72.01,68,40,19.37,scattered clouds
338,nieuw amsterdam,SR,5.8833,-55.0833,75.36,94,20,4.5,few clouds
339,minab,IR,27.1467,57.0801,101.7,13,0,5.35,clear sky
340,bourail,NC,-21.5667,165.4833,67.21,82,25,2.82,scattered clouds
341,coquimbo,CL,-29.9533,-71.3436,55.13,100,90,3.65,overcast clouds
342,gat,IL,31.61,34.7642,90.39,43,0,13.42,clear sky
343,mareeba,AU,-17.0,145.4333,66.92,90,19,2.84,few clouds
344,limbang,MY,4.75,115.0,84.51,93,100,1.14,heavy intensity rain
345,samarai,PG,-10.6167,150.6667,77.7,71,68,15.55,broken clouds
346,iranshahr,IR,27.2025,60.6848,107.94,8,0,11.5,clear sky
347,nikolskoye,RU,59.7035,30.7861,61.79,50,32,8.9,scattered clouds
348,palmer,US,42.1584,-72.3287,53.15,71,20,4.76,few clouds
349,saint george,US,37.1041,-113.5841,69.53,19,1,3.0,clear sky
350,valentin gomez farias,MX,28.2167,-106.5833,65.43,23,32,6.89,scattered clouds
351,kannur,IN,11.8675,75.3576,85.21,70,58,10.98,broken clouds
352,lebu,CL,-37.6167,-73.65,53.42,86,100,11.7,overcast clouds
353,bemidji,US,47.4736,-94.8803,32.25,99,1,0.0,clear sky
354,san luis,AR,-33.295,-66.3356,54.79,54,100,6.35,overcast clouds
